model1 name,gpu1,batch1,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency,,model2 name,gpu2,batch2,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency
vgg19,30,16,17371.07302093506,200,86.85536510467529,574179054,209104044,222252468,200926092,573889080,222439575,84.59205482,,densenet201,10,8,18089.402297973633,144,125.62084929148357,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
vgg19,30,4,6643.0104637146,200,33.215052318573,272809405,29327319,123015399,25578475,185020976,122237822,32.09844469,,densenet201,10,16,7066.521057128906,33,214.13700173117897,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
vgg19,30,8,14624.42552947998,200,73.1221276473999,506941693,105078424,132376309,98334011,491370811,132772808,71.467687,,densenet201,10,16,15430.580154418945,72,214.3136132558187,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
vgg19,30,16,17390.004592895508,200,86.95002296447754,574179054,209104044,222252468,200926092,573889080,222439575,84.59205482,,densenet201,10,16,18203.270950317383,82,221.991109150212,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
vgg19,40,4,5132.619197845459,200,25.663095989227294,272673808,29332634,109106068,25639138,198548206,108895424,24.89775261,,densenet201,10,4,5411.431114196777,65,83.25278637225811,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
vgg19,40,8,8819.817153930664,200,44.09908576965332,375438069,105324752,130506879,97888227,362051379,130497215,42.92320084,,densenet201,10,4,9173.545295715332,105,87.36709805443174,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
vgg19,40,16,10714.725006103516,200,53.573625030517576,428210739,209168274,230607150,201078848,418855502,230595730,52.07254169,,densenet201,10,4,11092.433059692383,119,93.21372319069229,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
vgg19,40,4,5156.987077713013,200,25.784935388565064,272673808,29332634,109106068,25639138,198548206,108895424,24.89775261,,densenet201,10,8,5490.06160736084,44,124.77412744001909,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
vgg19,40,8,8847.99031829834,200,44.239951591491696,375438069,105324752,130506879,97888227,362051379,130497215,42.92320084,,densenet201,10,8,9214.282180786133,71,129.77862226459342,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
vgg19,40,16,10789.009819030762,200,53.945049095153806,428210739,209168274,230607150,201078848,418855502,230595730,52.07254169,,densenet201,10,8,11243.19807434082,81,138.8049144980348,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
vgg19,40,4,5150.146467208862,200,25.75073233604431,272673808,29332634,109106068,25639138,198548206,108895424,24.89775261,,densenet201,10,16,5496.65217590332,25,219.86608703613283,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
vgg19,40,8,8902.443714141846,200,44.51221857070923,375438069,105324752,130506879,97888227,362051379,130497215,42.92320084,,densenet201,10,16,9444.166091918945,41,230.34551443704746,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
vgg19,40,16,10861.343643188477,200,54.30671821594238,428210739,209168274,230607150,201078848,418855502,230595730,52.07254169,,densenet201,10,16,11433.402694702148,46,248.55223249352497,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
vgg19,50,4,4181.045372009277,200,20.905226860046387,272633749,29332263,96376833,25767939,211042788,96286654,19.9473543,,densenet201,10,4,4418.040878295898,50,88.36081756591797,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
vgg19,50,8,7309.830863952637,200,36.54915431976318,388961865,105086551,132431923,98083223,373418833,132488891,35.23299389,,densenet201,10,4,7598.540725708008,81,93.80914476182726,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
vgg19,50,16,9141.534049987793,200,45.707670249938964,427974279,209149609,232047059,200633699,416987149,232093020,43.98544643,,densenet201,10,4,9513.185577392578,91,104.5405008504679,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
vgg19,50,4,4187.663368225098,200,20.938316841125488,272633749,29332263,96376833,25767939,211042788,96286654,19.9473543,,densenet201,10,8,4455.254150390625,34,131.03688677619485,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
vgg19,50,8,7347.476470947266,200,36.737382354736326,388961865,105086551,132431923,98083223,373418833,132488891,35.23299389,,densenet201,10,8,7779.701675415039,56,138.92324420383997,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
vgg19,50,16,9218.723419189453,200,46.093617095947266,427974279,209149609,232047059,200633699,416987149,232093020,43.98544643,,densenet201,10,8,9642.346115112305,62,155.52171153406942,185755726,95172541,127893672,60173593,161762443,127375227,103.2913113
vgg19,50,4,4203.562023162842,200,21.01781011581421,272633749,29332263,96376833,25767939,211042788,96286654,19.9473543,,densenet201,10,16,4634.705581665039,20,231.73527908325195,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
vgg19,50,8,7393.289112091064,200,36.96644556045532,388961865,105086551,132431923,98083223,373418833,132488891,35.23299389,,densenet201,10,16,7929.669616699219,32,247.8021755218506,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
vgg19,50,16,9246.109245300293,200,46.23054622650147,427974279,209149609,232047059,200633699,416987149,232093020,43.98544643,,densenet201,10,16,9750.944320678711,35,278.59840916224886,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076
vgg19,60,4,3726.7387466430664,200,18.63369373321533,272585498,29331921,89904550,25665044,217887113,89983665,17.73224096,,densenet201,10,4,3972.1980895996094,43,92.37669975813046,115482544,46107774,61221372,18164543,105360088,61443204,58.67592487
