vgg19	10	16	9602.147659	44	218.2306286
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	4	21623.70116	267	80.98764481
resnet50	10	4	21599.45879	500	43.19891758
vgg19	10	16	21979.97302	101	217.6234953
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	4	36568.70303	450	81.2637845
resnet50	10	8	36589.0662	500	73.1781324
vgg19	10	16	37027.05219	170	217.8061893
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	4	40986.10068	500	81.97220135
resnet50	10	16	41011.3433	350	117.1752666
vgg19	10	16	41544.09569	190	218.6531352
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	8	9594.821259	73	131.4359077
resnet50	10	1	9364.191828	500	18.72838366
vgg19	10	1	9564.63311	323	29.61186721
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	8	14773.41808	112	131.9055185
resnet50	10	4	14606.94242	336	43.47304291
vgg19	10	1	14789.95783	500	29.57991566
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	8	14819.70261	112	132.3187733
resnet50	10	8	14572.43536	198	73.5981584
vgg19	10	1	14788.88981	500	29.57777962
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	8	14771.93542	111	133.0804993
resnet50	10	16	14576.33417	124	117.551082
vgg19	10	1	14850.01443	500	29.70002886
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	8	9550.012497	73	130.822089
resnet50	10	1	9322.126001	500	18.644252
vgg19	10	4	9534.627213	87	109.5934162
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	8	21715.72774	166	130.817637
resnet50	10	4	21568.43718	500	43.13687435
vgg19	10	4	21913.73981	201	109.0235811
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	8	36795.85312	280	131.4137611
resnet50	10	8	36599.50024	500	73.19900047
vgg19	10	4	37050.57219	339	109.2937233
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	8	54378.77126	411	132.3084459
resnet50	10	16	54330.5007	464	117.0915963
vgg19	10	4	54758.19582	500	109.5163916
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	8	9391.910042	72	130.443195
resnet50	10	1	9262.16997	500	18.52433994
vgg19	10	8	9447.74382	52	181.6873812
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	8	21775.60835	166	131.1783636
resnet50	10	4	21608.07806	500	43.21615613
vgg19	10	8	22005.78288	121	181.8659742
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	8	36800.49393	280	131.4303355
resnet50	10	8	36572.21359	500	73.14442719
vgg19	10	8	37099.39401	204	181.8597746
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	8	58606.35014	443	132.2942441
resnet50	10	16	58566.78918	500	117.1335784
vgg19	10	8	59117.38361	324	182.4610605
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	8	9437.632706	72	131.078232
resnet50	10	1	9314.124094	500	18.62824819
vgg19	10	16	9588.583344	44	217.9223487
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	8	21843.17737	166	131.5854058
resnet50	10	4	21676.79973	500	43.35359946
vgg19	10	16	22028.29308	101	218.1019116
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	8	36820.48071	279	131.9730492
resnet50	10	8	36698.05473	500	73.39610945
vgg19	10	16	37109.83734	170	218.2931608
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	8	58852.33536	443	132.8495155
resnet50	10	16	58722.0042	500	117.4440084
vgg19	10	16	59344.13531	271	218.9820491
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	16	9640.93364	47	205.1262476
resnet50	10	1	9438.630186	500	18.87726037
vgg19	10	1	9640.211428	324	29.75373897
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	16	14814.22087	72	205.7530677
resnet50	10	4	14657.58289	335	43.75397876
vgg19	10	1	14837.10265	500	29.6742053
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	16	14822.3038	72	205.8653306
resnet50	10	8	14534.7597	197	73.78050608
vgg19	10	1	14814.37249	500	29.62874497
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	16	14920.40495	72	207.2278466
resnet50	10	16	14518.88165	123	118.0396882
vgg19	10	1	14891.64228	500	29.78328457
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	16	9577.780411	47	203.7825619
resnet50	10	1	9378.617931	500	18.75723586
vgg19	10	4	9660.458427	88	109.7779367
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	16	22130.472	108	204.9117778
resnet50	10	4	21766.46491	500	43.53292982
vgg19	10	4	22152.18993	202	109.6643066
model name	gpu resource	batchsize	total latency	real exec times	avg latency
