3830,255
3830,255
1886,255
1910,255
1886,255
1910,255
4070,255
4073,255
4073,255
3830,255
4073,255
4070,255
1883,255
3854,255
3830,255
3854,255
4073,255
1667,255
3857,255
1883,255
4073,255
1910,255
1883,255
1910,255
3830,255
3854,255
3854,255
4070,255
4070,255
4073,255
1910,255
3854,255
4070,255
3830,255
4097,255
1883,255
4073,255
1667,255
4073,255
3830,255
4070,255
1886,255
1670,255
1886,255
1667,255
3857,255
4070,255
1670,255
4073,255
1886,255
1886,255
1670,255
3830,255
3857,255
1910,255
1886,255
1667,255
3830,255
3854,255
1670,255
1883,255
3857,255
1667,255
1667,255
3854,255
1886,255
3854,255
1667,255
1886,255
3854,255
4070,255
1886,255
1910,255
1886,255
3854,255
1670,255
1643,255
1670,255
1910,255
3830,255
4073,255
1886,255
1886,255
3854,255
4070,255
3854,255
3854,255
1667,255
4070,255
4070,255
4073,255
1670,255
1883,255
3854,255
4073,255
3854,255
3854,255
4070,255
4070,255
3854,255
1667,255
4070,255
1886,255
1667,255
3857,255
3857,255
1886,255
1667,255
1670,255
1667,255
1886,255
1886,255
3857,255
1643,255
1670,255
3854,255
4070,255
4073,255
4073,255
1883,255
3854,255
1910,255
1667,255
1910,255
3854,255
1667,255
3857,255
1670,255
4070,255
1670,255
4070,255
1670,255
3830,255
1886,255
1910,255
1883,255
1886,255
1910,255
1667,255
3857,255
1670,255
1670,255
1670,255
3857,255
1670,255
1670,255
1670,255
3854,255
1883,255
1670,255
3854,255
1670,255
4073,255
1886,255
1883,255
4073,255
1670,255
3830,255
4073,255
1667,255
4073,255
4070,255
4070,255
1886,255
1883,255
1670,255
3854,255
1667,255
3857,255
3830,255
4073,255
3830,255
1886,255
1910,255
4073,255
1670,255
4073,255
4070,255
1670,255
1886,255
3854,255
1886,255
1667,255
1670,255
3854,255
3830,255
3854,255
1886,255
4073,255
4070,255
1670,255
1910,255
1667,255
1667,255
3854,255
1886,255
1883,255
1670,255
1670,255
3830,255
3854,255
1667,255
3854,255
1883,255
3854,255
4073,255
3854,255
4070,255
3854,255
1910,255
3830,255
4070,255
4073,255
3854,255
4073,255
1667,255
3854,255
1910,255
4070,255
3854,255
4070,255
1886,255
3854,255
4073,255
1883,255
1910,255
3830,255
3857,255
1643,255
3854,255
4073,255
1667,255
4070,255
3854,255
1910,255
1886,255
1667,255
1910,255
1883,255
1670,255
