ascend,resnet50_dis_percent,vgg19_dis_percent,densenet201_dis_percent,mobilenet_dis_percent
0,0.0,0.0035345296356715608,0.0,0.0
20,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
60,0.0,0.0,0.01767092016882626,0.0
80,0.0,0.0023841101427308324,0.051757470581967085,0.0
180,0.12307544572836977,0.2975290830814326,0.2768059225563323,0.0
