ascend,resnet50_load_times,vgg19_load_times,densenet201_load_times,mobilenet_load_times
0,1,1,93,3
20,1,1,15,1
40,1,1,1,1
60,1,1,1,1
80,1,1,1,1
180,1,1,2,2
