,data,x
0,-557.014803,0
1,-578.345362,0
2,-531.3178251,0
3,-557.014803,1
4,-578.345362,1
5,-531.3178251,1
6,-557.014803,2
7,-578.345362,2
8,-531.3178251,2
9,-557.014803,3
10,-578.345362,3
11,-531.3178251,3
12,-557.014803,4
13,-578.345362,4
14,-531.3178251,4
15,-557.014803,5
16,-578.345362,5
17,-531.3178251,5
18,-557.014803,6
19,-578.345362,6
20,-531.3178251,6
21,-557.014803,7
22,-578.345362,7
23,-531.3178251,7
24,-557.014803,8
25,-578.345362,8
26,-531.3178251,8
27,-557.014803,9
28,-578.345362,9
29,-531.3178251,9
30,-557.014803,10
31,-578.345362,10
32,-531.3178251,10
33,-557.014803,11
34,-578.345362,11
35,-531.3178251,11
36,-557.014803,12
37,-578.345362,12
38,-531.3178251,12
39,-557.014803,13
40,-578.345362,13
41,-531.3178251,13
42,-557.014803,14
43,-578.345362,14
44,-531.3178251,14
45,-557.014803,15
46,-578.345362,15
47,-531.3178251,15
48,-557.014803,16
49,-578.345362,16
50,-531.3178251,16
51,-557.014803,17
52,-578.345362,17
53,-531.3178251,17
54,-557.014803,18
55,-578.345362,18
56,-531.3178251,18
57,-557.014803,19
58,-578.345362,19
59,-531.3178251,19
60,-557.014803,20
61,-578.345362,20
62,-531.3178251,20
63,-557.014803,21
64,-578.345362,21
65,-531.3178251,21
66,-557.014803,22
67,-578.345362,22
68,-531.3178251,22
69,-557.014803,23
70,-578.345362,23
71,-531.3178251,23
72,-557.014803,24
73,-578.345362,24
74,-531.3178251,24
75,-557.014803,25
76,-578.345362,25
77,-531.3178251,25
78,-557.014803,26
79,-578.345362,26
80,-531.3178251,26
81,-557.014803,27
82,-578.345362,27
83,-531.3178251,27
84,-557.014803,28
85,-578.345362,28
86,-531.3178251,28
87,-557.014803,29
88,-578.345362,29
89,-531.3178251,29
90,-557.014803,30
91,-578.345362,30
92,-531.3178251,30
93,-557.014803,31
94,-578.345362,31
95,-531.3178251,31
96,-557.014803,32
97,-578.345362,32
98,-531.3178251,32
99,-557.014803,33
100,-578.345362,33
101,-531.3178251,33
102,-557.014803,34
103,-578.345362,34
104,-531.3178251,34
105,-557.014803,35
106,-578.345362,35
107,-531.3178251,35
108,-557.014803,36
109,-578.345362,36
110,-531.3178251,36
111,-557.014803,37
112,-578.345362,37
113,-531.3178251,37
114,-557.014803,38
115,-578.345362,38
116,-531.3178251,38
117,-557.014803,39
118,-578.345362,39
119,-531.3178251,39
120,-557.014803,40
121,-578.345362,40
122,-531.3178251,40
123,-557.014803,41
124,-578.345362,41
125,-531.3178251,41
126,-557.014803,42
127,-578.345362,42
128,-531.3178251,42
129,-557.014803,43
130,-578.345362,43
131,-531.3178251,43
132,-557.014803,44
133,-578.345362,44
134,-531.3178251,44
135,-557.014803,45
136,-578.345362,45
137,-531.3178251,45
138,-557.014803,46
139,-578.345362,46
140,-531.3178251,46
141,-557.014803,47
142,-578.345362,47
143,-531.3178251,47
144,-557.014803,48
145,-578.345362,48
146,-531.3178251,48
147,-557.014803,49
148,-578.345362,49
149,-531.3178251,49
150,-557.014803,50
151,-578.345362,50
152,-531.3178251,50
153,-557.014803,51
154,-578.345362,51
155,-531.3178251,51
156,-557.014803,52
157,-578.345362,52
158,-531.3178251,52
159,-557.014803,53
160,-578.345362,53
161,-531.3178251,53
162,-557.014803,54
163,-578.345362,54
164,-531.3178251,54
165,-557.014803,55
166,-578.345362,55
167,-531.3178251,55
168,-557.014803,56
169,-578.345362,56
170,-531.3178251,56
171,-557.014803,57
172,-578.345362,57
173,-531.3178251,57
174,-557.014803,58
175,-578.345362,58
176,-531.3178251,58
177,-557.014803,59
178,-578.345362,59
179,-531.3178251,59
180,-557.014803,60
181,-578.345362,60
182,-531.3178251,60
183,-557.014803,61
