Model,Batch,GPU Resource,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,Latency
inception,12,10,210696876,87220417,119687261,55493128,188568910,119655268,120.4450102
inception,12,100,229985417,91569813,105487607,55523214,225937690,105569053,17.949464
inception,12,20,210704773,87148932,116017432,55433590,192502013,116346594,62.45998451
inception,12,30,216358218,87137917,111987382,54925441,202104807,111944118,40.26493778
inception,12,40,217560737,87131485,111164378,54611565,203821387,111370199,32.62420017
inception,12,50,217252735,87092146,108048767,54042542,206408364,108103566,26.40142315
inception,12,60,216890981,87032070,106786606,53849103,207356613,106753102,23.33250368
inception,12,70,226558046,87042213,106949921,54538083,216912892,106949469,21.08644819
inception,12,80,230287353,91451722,105847311,56185695,226595339,105743310,19.89570042
inception,12,90,230287353,91451722,105847311,56185695,226595339,105743310,18.65080786
inception,16,10,260817285,118642083,159822347,83658321,232721726,159237184,149.7890443
inception,16,100,279007467,110924188,137349441,73485897,265646721,137214587,21.80044189
inception,16,20,261116428,118570254,157480552,81805752,235066909,157468891,78.20837166
inception,16,30,261270149,118526565,154977098,82774140,237960387,154914892,49.41696724
inception,16,40,270211989,118513519,153105609,81931626,246335870,153256859,39.4742453
inception,16,50,269709121,118363557,152762580,81265090,248538355,152763946,32.64811028
inception,16,60,266668887,118456778,151469161,81146480,246231125,151624804,28.62782721
inception,16,70,283139016,118274875,148741346,81139589,265554993,148579455,27.36525385
inception,16,80,282502861,118410989,145847391,81464258,267801621,145861797,25.68990437
inception,16,90,279420900,110969519,134857275,73514551,268100392,134989752,22.67281254
inception,4,10,89193038,26755200,34030509,10495239,85743255,34074495,50.81755478
inception,4,100,99483058,29969646,35935164,12740649,98715251,35854962,11.72773821
inception,4,20,89380011,26761748,34810344,10902518,85275886,34668179,27.35184828
inception,4,30,89108253,26731395,34629063,11319870,85163711,34619124,17.77672482
inception,4,40,93154764,26694870,34487690,10627678,89357275,34529174,14.89535833
inception,4,50,93050114,26693394,34541305,10623352,89162016,34590160,11.93527549
inception,4,60,92291710,26620802,34247527,10387512,88423142,34416167,10.53675874
inception,4,70,92878182,26632681,34615313,10698955,89075999,34426872,10.45648827
inception,4,80,92982332,26687421,34450869,10865748,89267686,34498831,11.42078791
inception,4,90,99495178,29967624,35894308,12903111,98756761,35877868,11.28185601
inception,8,10,154268967,48582178,68186923,27941115,142337866,68212723,90.23465614
inception,8,100,173717081,56917352,66292701,29429453,173006074,66331341,12.72266306
inception,8,20,154012146,48535788,65815564,26397428,143950707,65653285,47.70173832
inception,8,30,153729991,48438721,66346449,26797407,143310304,66200478,30.17991909
inception,8,40,156198349,48486644,64226408,25437610,147641838,64221011,24.1389958
inception,8,50,155840522,48443223,63138174,25092163,148296546,63158041,20.55717432
inception,8,60,155525720,48302736,62169798,25826998,146678442,62258083,17.05808002
inception,8,70,160886374,48409619,62940027,25215308,153587318,63115996,15.89972635
inception,8,80,160253503,48309581,62448732,25566394,153459250,62471536,15.29470304
inception,8,90,172789992,56820312,66024872,28436346,171815072,66050116,13.24961763
mobilenet,12,10,48878985,31892230,35416448,21446546,46978730,35388252,27.60258942
mobilenet,12,100,55129783,34219558,40120153,22964215,51154880,40149906,5.223698568
mobilenet,12,20,48930686,31872550,36573622,21319788,45865950,36554281,14.17268188
mobilenet,12,30,48942365,31866237,37645301,22206136,44939177,37593142,9.103418236
mobilenet,12,40,48844322,31854750,37917952,21553420,44397465,37922258,7.563174062
mobilenet,12,50,48758169,31844674,37850152,21464230,44505686,37876256,6.723831658
mobilenet,12,60,48749643,31845877,38076556,21247184,44192285,38053063,5.769686389
mobilenet,12,70,48676062,31840269,38300753,21003505,44107288,38185498,5.487025595
mobilenet,12,80,48738167,31831960,38319072,21845991,44039501,38268418,5.752210855
mobilenet,12,90,55141069,34222402,39998975,22681962,51266128,40010022,5.634055009
mobilenet,16,10,65744644,42006108,47392646,30585574,62657395,47406982,35.35304928
mobilenet,16,100,66143143,42653855,50992909,30899709,59934606,50998524,6.33236896
mobilenet,16,20,65717329,41979913,49618486,30531990,60361343,49615441,18.4364205
mobilenet,16,30,65982263,41971312,49743394,30989420,60377010,49900135,11.98700381
mobilenet,16,40,65880774,41959103,50073602,30875856,59714904,50157817,10.01805569
mobilenet,16,50,65889510,41952440,50077276,30781640,59882365,50140717,8.279743299
mobilenet,16,60,65766952,41938226,50462267,30729482,59491484,50322993,7.52924799
mobilenet,16,70,65767409,41932549,50668619,30766532,59161379,50581542,7.145956788
mobilenet,16,80,65784616,41925619,50768248,30444786,59025195,50984368,6.768211217
mobilenet,16,90,66135570,42658120,51149138,31034116,59932664,51005750,6.534102077
mobilenet,4,10,16941040,10830912,10678417,4852612,17919200,10672849,9.416897554
mobilenet,4,100,18090959,12226780,12481061,4471456,18761951,12473016,4.914741106
mobilenet,4,20,17127136,10824377,11433168,4489844,17401511,11378416,5.296509438
mobilenet,4,30,17227071,10817840,11592746,4210184,17273984,11617060,4.585784636
mobilenet,4,40,17369378,10821576,11699821,4983015,17374400,11703992,4.929570885
mobilenet,4,50,17422247,10815250,11967841,4548669,17195103,11907026,4.698351998
mobilenet,4,60,17390337,10813837,11922889,4629068,17175656,11907664,4.710888643
mobilenet,4,70,17372366,10814615,12078289,4542194,17026048,12164992,4.449984961
mobilenet,4,80,17415884,10813048,12257833,4413191,16932251,12270550,4.395594883
