resnet50,vgg19,densenet201,mobilenet
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,53.195307260047,0,0
0,0,0,0
0,0,0,0
0,63.38468694320943,0,0
0,0,0,0
0,0,0,0
0,62.08765868646128,0,0
0,0,0,0
0,0,0,0
0,55.543192709302275,0,0
0,66.89775856272024,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,20.999380596803007,0,0
0,0,0,0
0,0,0,0
0,40.57335732986644,0,0
0,0,0,0
0,0,0,0
0,43.855507387825924,0,0
0,0,0,0
0,0,0,0
0,44.72865554729083,0,0
0,0,0,0
0,0,0,0
0,39.63112168467819,0,0
0,0,0,0
0,0,0,0
0,47.454624029181446,0,0
0,0,0,0
0,0,0,0
0,48.679926469327484,0,0
0,69.13965461328894,0,0
0,0,0,0
0,0,0,0
0,39.953400122868175,0,0
0,0,0,0
0,30.30050195481965,0,0
0,62.92069740666693,0,0
0,60.72315881666441,0,0
0,57.89346692397828,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,26.43374210268246,0
0,0,50.253844592461064,0
0,0,37.00538090328746,0
0,0,37.742157780141156,0
0,0,38.20631940055364,0
0,0,38.429861747323685,0
0,0,41.119103355401194,0
0,0,43.296567638342026,0
0,0,41.537171817551325,0
0,0,44.25126489234276,0
0,0,41.62458434205098,0
0,0,39.102026002256366,0
0,0,44.41988878301163,0
0,0,39.3557675095974,0
0,0,25.320675121593013,0
0,0,23.425780063659772,0
0,0,16.090000448378078,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
